診療項目代碼,健保支付點數,生效起日,生效迄日,英文項目名稱,中文項目名稱,備註
00314C,478,20260401,29101231,,符合牙醫門診加強感染管制實施方案之輕度特定身心障礙者(非精神疾病)及失能老人診察費,限「全民健康保險牙醫門診總額特殊醫療服務計畫」適用對象之牙醫醫療服務申報。
00315C,658,20260401,29101231,,符合牙醫門診加強感染管制實施方案之環口全景X光片診察,1.係指病人在該院所從未執行本項診察或01271C，或三年以上未就診，且該病人基於醫師之專業判斷，有施行環口全景X光片診察之需要，醫師得於主訴處理完畢後擇適當時機執行。2.申報時應檢附Panoramic radiography環口全景X光片攝影。3.同次診察內含34001C至34004C之X光費用，不得另行申報。4.病歷中除應記載缺牙部位、牙冠牙橋與阻生齒外，應記載X光片呈現之診斷與發現。5.本項與01271C三年內限擇一申報一次，申報本項一年內不得申報01272C、01273C、00316C、00317C。
00316C,658,20260401,29101231,,符合牙醫門診加強感染管制實施方案之年度X光片診察,1.係指病人間隔一年以上未就診或二年以上未執行本項，且經醫師專業判斷疑有鄰接面齲齒或疑似牙周炎者，醫師得於主訴處理完畢後擇適當時機執行。2.申報時應檢附雙側咬翼片Bite-Wing(後牙) 及至少二張根尖周X光攝影(前牙)或至少四張根尖周X光片（不同部位，後牙優先）。3.同次診察內含34001C至34004C之X光費用，不得另行申報。4.病歷中除應記載缺牙部位、牙冠牙橋與阻生齒以及鄰接面齲齒齒位及部位外，應記載X光片呈現之診斷與發現。5.申報本項一年內不得申報01271C、01272C、01273C、00315C、00317C。
00317C,658,20260401,29101231,,符合牙醫門診加強感染管制實施方案之高齲齒罹患率族群年度X光片診察,1.適應症係指一年以上未執行本項，且符合高齲齒罹患率的族群者，經醫師專業判斷有執行X光片診察需要者，醫師可於病人之主訴處理完畢後擇適當時機執行。2.申報時應檢附雙側咬翼片Bite-Wing（後牙）及至少二張根尖周X光攝影（前牙）。3.高齲齒罹患率的族群為：(1)化療、放射線治療病人。(2)中風病人。(3)自體免疫疾病病人。(4)糖尿病病人。(5)心血管疾病病人。(6)巴金氏症Parkinson's disease。(7)透析治療(洗腎)病人。(8)經醫師專業判斷為高齲齒罹患率族群者。（須詳細註明原因）4.同次診察內含34001C至34004C之X光費用，不得另行申報。5.病歷中除應記載缺牙部位、牙冠牙橋與阻生齒以及鄰接面齲齒齒位及部位外，應記載X光片呈現之診斷與發現。6.申報本項一年內不得申報01271C、01272C、01273C、00315C、00316C。
00318C,778,20260401,29101231,,符合牙醫門診加強感染管制實施方案之自閉症、失智症及極重度特定身心障礙(非精神疾病)者診察費,限「全民健康保險牙醫門診總額特殊醫療服務計畫」適用對象之牙醫醫療服務申報。
01,100,20220701,29101231,,第一次兒童衛教指導費(可搭配第一次兒童預防保健申報),於出生至二個月；提供嬰兒哺餵、嬰幼兒猝死症候群預防、事故傷害預防等衛教指導。
01015C,630,20250501,29101231,,急診(不分檢傷)－診察費,1.急診定義及適用範圍如附表2.1.1。2.夜間(晚上十時至隔日早上六時)加計百分之五十、例假日(週六之零時起至週日二十四時止、國定假日零時至二十四時)加計百分之二十，同時符合夜間及例假日者，則僅加計百分之五十；屬西醫基層總額部門院所，例假日加成維持原週六之中午十二時起至週日二十四時止、國定假日零時至二十四時加計百分之二十規定。3.山地離島及符合衛生福利部公告之緊急醫療資源不足地區急救責任醫院加計百分之三十，若同時符合夜間、例假日者，依表定點數加計百分之八十。4.地區醫院得依表定點數加計百分之十九。 5.本項年齡未滿六個月者，依表定點數加計百分之一百，其餘年齡為兒童加成項目，依本節通則十規定辦理。6.地區醫院之兒科專科醫師申報得加計百分之五十，其餘專科醫師申報未滿七歲兒童者，得加計百分之五十。7.屬西醫基層總額部門院所，急診（不分檢傷）診察費以原支付點數五百七十四點申報、急診（不分檢傷）護理費以原支付點數九十三點申報。
01018B,308,20250501,29101231,,醫院精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 1)處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.內含護理費比率為百分之八點七至百分之十一點五。
01019B,308,20250501,29101231,,醫院精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 3)未開處方或處方由本院自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.內含護理費比率為百分之八點七至百分之十一點五。
01021C,917,20250501,29101231,,精神科急診－診察費,1.精神科急診定義及範圍如附表2.1.1。2.夜間(晚上十時至隔日早上六時)加成百分之五十、例假日(週六零時起至週日二十四時止、國定假日零時至二十四時)加成百分之二十，同時符合夜間及例假日者，則僅加成百分之五十。3.山地離島及符合衛生福利部公告之緊急醫療資源不足地區急救責任醫院加成百分之三十，若同時符合夜間、例假日者，依表定點數加成百分之八十。4.兒童加成項目。5.屬西醫基層總額部門院所：(1)精神科急診診察費以原支付點數八百三十四點申報、精神科急診護理費以原支付點數六十七點申報。(2)例假日加成維持原週六之中午十二時起至週日二十四時止、國定假日零時至二十四時加成百分之二十規定。
01023C,468,20240401,29101231,,高危險早產兒特別門診診察費,1.限出生時二千公克以下的早產兒於未滿三歲前之特別門診追蹤治療，並限由小兒科專科醫師親自執行。2.內含護理費比率為百分之十一點五至百分之十五點三。
01024C,1090,20160401,29101231,,山地離島地區醫療報酬–山地離島地區醫師巡迴醫療費（半天）,1.山地離島地區巡迴醫療每位醫師、藥事人員及護理人員每月以八次為限，每次以半天為單位。2.申報01024C及01028C者，得另依規定申報醫療費。3.相關規定請依「全民健康保險申請山地離島地區醫療報酬作業須知」辦理。
01027C,872,20160401,29101231,,山地離島地區醫療報酬–山地離島地區護理人員巡迴醫療費（半天）,1.山地離島地區巡迴醫療每位醫師、藥事人員及護理人員每月以八次為限，每次以半天為單位。2.申報01024C及01028C者，得另依規定申報醫療費。3.相關規定請依「全民健康保險申請山地離島地區醫療報酬作業須知」辦理。
01028C,2180,20160401,29101231,,山地離島地區醫療報酬–支援二、三、四級離島無醫師地區醫療費（一天）,1.山地離島地區巡迴醫療每位醫師、藥事人員及護理人員每月以八次為限，每次以半天為單位。2.申報01024C及01028C者，得另依規定申報醫療費。3.相關規定請依「全民健康保險申請山地離島地區醫療報酬作業須知」辦理。
01030D,320,20250501,29101231,,助產所產後檢查,1.內容包括：產後恢復檢查、避孕指導、德國麻疹預防注射之諮商及指導。2.原助產所接生之個案，每人每次產後一個月內得申報四次到宅產後檢查服務，各次產後檢查服務內容如下：(1)第一次檢查A.身體評估(囟門、頸部、肩膀、心跳、髖關節)、測量新生兒：體溫、呼吸、頭圍、身長、教導新生兒沐浴、臍帶護理。B.教導母乳哺餵方式、餵食注意事項(唇色變化、溢吐奶)、排氣技巧、測量產婦：體溫、呼吸、血壓、子宮收縮、子宮底高度、傷口評估、產後排出物評估、產後飲食衛教、家庭衛生環境評估。(2)第二次檢查第一次服務項目+黃疸評估、發奶及脹奶處理。(3)第三次檢查第一、二次服務項目+奶量評估、生理性脫水評估、新生兒體重測量、紅臀處理、分辨腹瀉及便秘差異及處理方式、回覆示教新生兒沐浴、臍帶護理。(4)第四次檢查第一、二、三次服務項目+新生兒預防注射注意事項、避孕措施、產後運動、回覆示教新生兒沐浴、臍帶護理、母乳哺餵技巧、溢吐奶處理、排氣技巧。
01033C,872,20160401,29101231,,山地離島地區醫療報酬–山地離島地區藥事人員巡迴醫療費（半天）,1.山地離島地區巡迴醫療每位醫師、藥事人員及護理人員每月以八次為限，每次以半天為單位。2.申報01024C及01028C者，得另依規定申報醫療費。3.相關規定請依「全民健康保險申請山地離島地區醫療報酬作業須知」辦理。
01034B,500,20250901,29101231,,辦理轉診費_回轉及下轉-使用保險人電子轉診平台,1.適用對象：(1)回轉：醫院對收治之上轉病人，其病情穩定後，已無需於該院繼續接受治療，但仍需接受門診或住院相關醫療服務，經病人同意，轉回原診療或其他適當之特約院所。(2)下轉：醫院對收治之病人，其病情穩定後，已無需於該院繼續接受治療，但仍需接受門診或住院相關醫療服務，經病人同意，轉診至特約類別較低層級之適當院所。(3)00192A：限醫學中心或區域醫院回轉或下轉至地區醫院或基層診所申報。(4)01034B：限醫學中心回轉或下轉至區域醫院、地區醫院回轉或下轉至基層診所申報。2.執行規範：(1)院所宜協助病人轉診就醫安排事宜，並應交付病人轉診單，提供接受轉診之院所必要之診療資訊，包含：保險對象基本資料、病歷摘要或處置情形、轉診目的、轉診單開立日期及有效期限、建議轉診之診療科別等，後續應確認該院所接受轉診。(2)院所針對同一病人之轉診，應同院整合後辦理，不應分科分次轉出。(3)執行前述及其餘轉診相關事宜，應依全民健康保險轉診實施辦法各項規定辦理。3.支付規範：(1)院所除當次就醫之診察費外，可同時申報本項費用。(2)下列情形不得申報本項費用：A.同體系醫療院所間(含委託經營)之轉診案件。B.已申報全民健康保險任一品質提升方案或照護計畫之相關轉診獎勵者。
01036C,150,20250901,29101231,,辦理轉診費_上轉-使用保險人電子轉診平台,1.適用對象：院所對無法處理病情之病人，因醫療需要，經病人同意後，轉診至特約類別較高層級之適當醫院。2.執行規範：(1)院所宜協助病人轉診就醫安排事宜，並應交付病人轉診單，提供接受轉診之院所必要之診療資訊，包含：保險對象基本資料、病歷摘要或處置情形、轉診目的、轉診單開立日期及有效期限、建議轉診之診療科別等，後續應確認該院所接受轉診。(2)院所針對同一病人之轉診，應同院整合後辦理，不應分科分次轉出。(3)執行前述及其餘轉診相關事宜，應依全民健康保險轉診實施辦法各項規定辦理。3.支付規範：(1)院所除當次就醫之診察費外，可同時申報本項費用。(2)下列情形不得申報本項費用：A.同體系醫療院所間(含委託經營)之轉診案件。B.已申報全民健康保險任一品質提升方案或照護計畫之相關轉診獎勵者。
01038C,200,20250901,29101231,,接受轉診門診診察費加算,1.適用對象須符合下列任一條件者：(1)接受申報01036C之上轉案件。(2)接受以紙本轉診單辦理轉診案件：申報資料比對轉出院所申報「病患是否轉出(d18)」及「轉往之醫事服務機構代號(d55)」，如未能正確比對轉出院所，得以書面方式舉證。2.執行規範：(1)院所應設置適當之設施及人員，為需要轉診之保險對象，提供適當就醫安排，並保留一定優先名額予轉診之病人。(2)接受轉診後，應依醫療法施行細則有關轉診之規定，將保險對象之初步診療處置情形，及後續診療疾病之相關檢查及處置結果，回復原轉診院所。(3)執行前述及其餘轉診相關事宜，應依全民健康保險轉診實施辦法各項規定辦理。3.支付規範：(1)申報本項費用者，當次就醫可同時申報門診診察費，且此次門診不列入院所原門診合理量計算。(2)下列情形不得申報本項費用：A.同體系醫療院所間(含委託經營)之轉診案件。B.屬全民健康保險轉診實施辦法第十一條所列之「視同轉診」情形者。C.已申報全民健康保險任一品質提升方案或照護計畫之相關轉診獎勵者。
01039C,600,20240301,29101231,,腎臟移植諮詢費,1.適應症：年齡未滿六十五歲符合下列任一條件者適用：(1)透析前，eGFR<10ml/min/1.73㎡連續二次，間隔三個月以上，且逐漸衰退者。(2)領有「慢性腎衰竭（尿毒症），必須接受定期透析治療者」重大傷病證明（三個月以上），並於開始接受透析一年內。2.支付規範：(1)諮詢參與人員：包括移植醫療團隊之外科、泌尿科、小兒外科或曾接受過台灣腎臟醫學會與台灣移植醫學會共同舉辦之腎臟移植諮詢訓練課程之腎臟科專科醫師，以及病人或病人家屬。(2)諮詢時間：每一個案諮詢時間至少十五分鐘。(3)諮詢紀錄：應有參與諮詢醫療團隊及病人或其家屬簽名之「腎臟移植諮詢檢核表（含醫病共享決策評估表）」，並應併入病人之病歷紀錄留存。(4)申報規定：A.門診、住診均可申報。B.每人終生限給付一次。C.不得與「全民健康保險鼓勵院所加強推動腹膜透析與提升照護品質計畫」之醫病共享決策診療項目、「全民健康保險末期腎臟病前期(Pre-ESRD)之病人照護與衛教計畫」P3405C「結案資料處理費」併同申報。
01040C,728,20230701,29101231,,職業病初診、第一、二、三次複診診察費-處方交付特約藥局調劑,1.按全民健康保險給付基層院所門診合理量內診察費(代碼為00109C，00139C，00110C， 00140C，00158C，00159C)之二倍 2.限勞工保險職業病初診及三次以內(含)之複診申報 3.本項診察費應由職業醫學科專科醫師執行
01050C,774,20230701,29101231,,職業病初診、第一、二、三次複診診療費-開具慢性病連續處方並交付特約藥局調劑,1.按全民健康保險給付基層院所門診合理量內診察費(代碼為00109C，00139C，00110C， 00140C，00158C，00159C)之二倍 2.限勞工保險職業病初診及三次以內(含)之複診申報 3.本項診察費應由職業醫學科專科醫師執行
01060C,728,20230701,29101231,,職業病初診、第一、二、三次複診診察費-未開處方或處方由本院所自行調劑,1.按全民健康保險給付基層院所門診合理量內診察費(代碼為00109C，00139C，00110C， 00140C，00158C，00159C)之二倍 2.限勞工保險職業病初診及三次以內(含)之複診申報 3.本項診察費應由職業醫學科專科醫師執行
01070C,724,20230701,29101231,,職業病初診、第一、二、三次複診診察費-開具慢性病連續處方並由本院所自行調劑,1.按全民健康保險給付基層院所門診合理量內診察費(代碼為00109C，00139C，00110C， 00140C，00158C，00159C)之二倍 2.限勞工保險職業病初診及三次以內(含)之複診申報 3.本項診察費應由職業醫學科專科醫師執行
01075C,1031,20130601,29101231,,職業性醫學科診斷性會談費,一、限由職業醫學科專科醫師執行。二、經確診為職業病之勞工保險被保險人案件。三、須填寫勞工保險職業病評估報告書，並由職業醫學科專科醫師簽名，留存病歷備查。四、勞工保險職業病門診初診及三次以內複診之診察費，調整為全民健康保險給付特約基層院所門診合理量內診察費之二倍，惟於申報本項會談費當次，不再加倍。
01076B,1200,20140101,29101231,,尿中無機砷檢查,「尿中無機砷檢查」值需呈現「尿中無機砷總量」檢驗值(即三價砷、五價砷、MMA、DMA、肌酸酐之檢驗值合計數)
01077B,1000,20170101,29101231,,試壓耐氧檢查,
01078B,400,20190101,29101231,,血清銦檢查,
01080C,1122,20230701,29101231,,職業病初診、第一、二、三次複診診察費-開具連續二次以上調劑，而且每次調劑二十八天以上之慢性病連續處方並交付特約藥局調劑,1.按全民健康保險給付基層院所門診合理量內診察費(代碼為00109C，00139C，00110C， 00140C，00158C，00159C)之二倍 2.限勞工保險職業病初診及三次以內(含)之複診申報 3.本項診察費應由職業醫學科專科醫師執行
01090C,1072,20230701,29101231,,職業病初診、第一、二、三次複診診察費-開具連續二次以上調劑，而且每次調劑二十八天以上之慢性病連續處方並由本院所自行調劑,1.按全民健康保險給付基層院所門診合理量內診察費(代碼為00109C，00139C，00110C， 00140C，00158C，00159C)之二倍 2.限勞工保險職業病初診及三次以內(含)之複診申報 3.本項診察費應由職業醫學科專科醫師執行
01188C,30,20131231,29101231,,勞工保險職業傷害門診初診加給診察費,配合支付標準2-1-1門診診察費調整，修訂勞工保險職業傷害門診診察費支付代碼表，刪除牙醫兩字。
01271C,600,20231001,29101231,,環口全景X光片診察,1.係指病人在該院所從未執行本項診察或00315C，或三年以上未就診，且該病人基於醫師之專業判斷，有施行環口全景X光片診察之需要，醫師得於主訴處理完畢後擇適當時機執行。2.申報時應檢附Panoramic radiography環口全景X光片攝影。3.同次診察內含34001C至34004C之X光費用，不得另行申報。4.病歷中除應記載缺牙部位、牙冠牙橋與阻生齒外，應記載X光片呈現之診斷與發現。5.本項與00315C三年內限擇一申報一次，申報本項一年內不得申報01272C、01273C、00316C、00317C。
01272C,600,20231001,29101231,,年度X光片診察,1.係指病人間隔一年以上未就診或二年以上未執行本項，且經醫師專業判斷疑有鄰接面齲齒或疑似牙周炎者，醫師得於主訴處理完畢後擇適當時機執行。2.申報時應檢附雙側咬翼片Bite-Wing(後牙)及至少二張根尖周X光攝影(前牙)或至少四張根尖周X光片（不同部位，後牙優先）。3.同次診察內含34001C至34004C之X光費用，不得另行申報。4.病歷中除應記載缺牙部位、牙冠牙橋與阻生齒以及鄰接面齲齒齒位及部位外，應記載X光片呈現之診斷與發現。5.申報本項一年內不得申報01271C、01273C、00315C、00316C、00317C。
01273C,600,20231001,29101231,,高齲齒罹患率族群年度X光片診察,1.適應症係指一年以上未執行本項，且符合高齲齒罹患率的族群者，經醫師專業判斷有執行X光片診察需要者，醫師可於病人之主訴處理完畢後擇適當時機執行。2.申報時應檢附雙側咬翼片Bite-Wing（後牙）及至少二張根尖周X光攝影（前牙）。3.高齲齒罹患率的族群為：(1)化療、放射線治療病人。(2)中風病人。(3)自體免疫疾病病人。(4)糖尿病病人。(5)心血管疾病病人。(6)巴金氏症Parkinson's disease。(7)透析治療(洗腎)病人。(8)經醫師專業判斷為高齲齒罹患率族群者。（須詳細註明原因）4.同次診察內含34001C至34004C之X光費用，不得另行申報。5.病歷中除應記載缺牙部位、牙冠牙橋與阻生齒以及鄰接面齲齒齒位及部位外，應記載X光片呈現之診斷與發現。6.申報本項一年內不得申報01271C、01272C、00315C、00316C、00317C。
02,100,20220701,29101231,,第二次兒童衛教指導費(可搭配第二次兒童預防保健申報),於二個月至四個月；提供嬰兒餵食與口腔清潔、嬰幼兒猝死症候群預防、事故傷害預防等衛教指導。
02005B,429,20231001,29101231,,住院會診費,1.本項會診費，除急診期間外，每一保險對象每次住院最多限申報五次。2.急診處暫留床病人，以申報一次為限。3.不得同時申報高風險妊娠生產新生兒緊急處置費(編號57124C、57125B及57126B)。4.兒童專科醫師得加計百分之一百二十，若同時符合兒童加成者，依加成率合計後一併加成，最高加成上限為百分之一百二十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02006K,468,20260401,29101231,,一般病床住院診察費(天),1.經濟病床及急性精神病床比照申報。2.本項兒童加成方式：病人年齡未滿二歲者，依表定點數加計百分之六十；年齡二歲以上至未滿七歲者，依表定點數加計百分之二十。3.兒科專科醫師得加計百分之一百五十，若同時符合兒童加成者，依加成率合計後一併加成，病人年齡未滿二歲者最高加成上限為百分之二百十；二歲以上至未滿七歲者最高加成上限為百分之一百七十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02007A,442,20260401,29101231,,一般病床住院診察費(天),1.經濟病床及急性精神病床比照申報。2.本項兒童加成方式：病人年齡未滿二歲者，依表定點數加計百分之六十；年齡二歲以上至未滿七歲者，依表定點數加計百分之二十。3.兒科專科醫師得加計百分之一百五十，若同時符合兒童加成者，依加成率合計後一併加成，病人年齡未滿二歲者最高加成上限為百分之二百十；二歲以上至未滿七歲者最高加成上限為百分之一百七十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02008B,398,20260401,29101231,,一般病床住院診察費(天),1.經濟病床及急性精神病床比照申報。2.本項兒童加成方式：病人年齡未滿二歲者，依表定點數加計百分之六十；年齡二歲以上至未滿七歲者，依表定點數加計百分之二十。3.兒科專科醫師得加計百分之一百五十，若同時符合兒童加成者，依加成率合計後一併加成，病人年齡未滿二歲者最高加成上限為百分之二百十；二歲以上至未滿七歲者最高加成上限為百分之一百七十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02010B,802,20220301,29101231,,燒傷病床住院診察費(天),本項兒童加成方式：病人年齡未滿六個月者，依表定點數加計百分之一百二十；年齡在六個月以上至未滿二歲者，依表定點數加計百分之九十；年齡在二歲以上至未滿七歲者，依表定點數加計百分之八十。
02011K,1925,20260401,29101231,,加護病床住院診察費(天),1.精神科加護病床、燒傷中心及骨髓移植隔離病床比照申報。2.兒科專科醫師得加計百分之一百二十，若同時符合兒童加成或兒科及新生兒科加護病房加成者，依加成率合計後一併加成，最高加成上限為百分之一百六十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02012A,1729,20260401,29101231,,加護病床住院診察費(天),1.精神科加護病床、燒傷中心及骨髓移植隔離病床比照申報。2.兒科專科醫師得加計百分之一百二十，若同時符合兒童加成或兒科及新生兒科加護病房加成者，依加成率合計後一併加成，最高加成上限為百分之一百六十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02013B,1536,20260401,29101231,,加護病床住院診察費(天),1.精神科加護病床、燒傷中心及骨髓移植隔離病床比照申報。2.兒科專科醫師得加計百分之一百二十，若同時符合兒童加成或兒科及新生兒科加護病房加成者，依加成率合計後一併加成，最高加成上限為百分之一百六十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02014K,495,20231001,29101231,,隔離病床住院診察費(天),1.核醫病床得比照申報。2.兒童專科醫師得加計百分之一百五十，若同時符合兒童加成者，依加成率合計後一併加成，最高加成上限為百分之一百五十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02015A,462,20231001,29101231,,隔離病床住院診察費(天),1.核醫病床得比照申報。2.兒童專科醫師得加計百分之一百五十，若同時符合兒童加成者，依加成率合計後一併加成，最高加成上限為百分之一百五十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02016B,407,20231001,29101231,,隔離病床住院診察費(天),1.核醫病床得比照申報。2.兒童專科醫師得加計百分之一百五十，若同時符合兒童加成者，依加成率合計後一併加成，最高加成上限為百分之一百五十。小兒外科專科醫師診治未滿十九歲病人之案件，得依前述規範加成。
02017K,1229,20240701,29101231,,新生兒中重度住院診察費(天),本項非兒童加成項目。
02018A,1166,20240701,29101231,,新生兒中重度住院診察費(天),本項非兒童加成項目
02019B,1065,20240701,29101231,,新生兒中重度住院診察費(天),本項非兒童加成項目
02020C,2250,20260101,29101231,,緩和醫療家庭諮詢費,1.適用範圍：符合安寧緩和醫療條例之住院、急診、接受居家醫療照護(含在宅、機構)末期病人，且未曾接受安寧療護服務。2.相關規範：(1)諮詢參與人員：包括主治醫療團隊、病人或病人家屬。(2)諮詢時間：每一個案諮詢時間至少一小時。(3)諮詢紀錄：應有完整之諮詢溝通內容紀錄，並應併入病人之病歷紀錄留存，紀錄並有參與諮詢醫療團隊及病人或家屬簽名。 (4)申報規定：A.已參與全民健康保險安寧共同照護試辦方案、住院安寧療護及安寧居家療護之病人，不得再申報本項費用。B.同一院所限申報二次。
02021K,393,20160401,29101231,,慢性病床住院診察費(天),
02022A,371,20160401,29101231,,慢性病床住院診察費(天),
02023B,334,20160401,29101231,,慢性病床住院診察費(天),
02024B,1493,20220301,29101231,,高危險妊娠住院診察費,"適應症：1.妊娠二十二週以上至未滿三十三週早產病患。2.四十歲以上初產婦。3.BMI≧35之初產婦。4.嚴重妊娠高血壓。5.前置胎盤患者。6.多胞胎。7.胎兒生長遲緩或胎兒發育異常者(IUGR)或胎盤功能異常者。8.妊娠合併內科疾病：心臟病、糖尿病、甲狀腺疾病、腎臟疾病 (NS,IgA,ESRD)、免疫性疾病(SLE)、血小板低下症。9.白血病。10.血友病(Coagulopathy)。11.愛滋病。12.產後大出血者。13.胎盤早期剝離。14.合併接受外科手術者。15.雙胞胎輸血症候群。"
02025B,1500,20230701,29101231,,出院準備及追蹤管理費,1.醫事機構條件：須設有出院準備服務小組，定期召開會議，檢討、修訂出院照護計畫架構、流程等，並能具體解決問題，且記錄完整。2.服務項目:(1)出院準備服務計畫: 提供營養、復健、用藥、後續門診追蹤、緊急就醫之醫療資源與途徑等資訊，提升病人及家屬居家自我照顧能力、提供生活適應訓練、社會經濟及心理層面諮詢等疾病相關之計畫及指導。(2)每位個案應進行一次以上之跨團隊溝通協調。(3)評估個案需求，協助轉介全民健康保險家庭醫師整合性照護計畫社區醫療群、各類居家照護、全民健康保險居家醫療照護整合計畫、長照機構等後續照護資源。(4)提供電話專線諮詢服務。(5)出院後電訪追蹤至少一次。3.支付規範： (1)醫事服務機構應檢附計畫書(敘明收案對象及執行方式)及專業團隊名單向保險人分區業務組申請核備後執行。(2)每人每次住院得申請一次。(3)排除出院後轉往同體系院所住院之案件。4.品質監控指標：同一疾病三日再急診比率(含跨院)、同一疾病十四日內非計畫性再住院率(含跨院)。5.施行本項須依保險人公布之「02025B出院準備及追蹤管理費作業規範」辦理。
02027B,5000,20250901,29101231,,器官移植協調管理費,本項須併同下列器官摘取或移植手術之診療項目申報，不得單獨申報。1.器官摘取：68034B、68038B、75021B、75022B、75419B、76018B、76019B、73050B、75034B、76036B。2.器官移植：68035B、68037B、68047B、75020B、75418B、76020B、73049B。3.異體造血幹細胞移植：94201B。
02028C,3000,20260101,29101231,,預立醫療照護諮商費,"1.符合下列任一條件，且具完全行為能力之病人：(1)六十五歲以上重大傷病病人。(2)符合安寧療護收案條件者。(3)臨床失智評估量表(Clinical Dementia Rating, CDR)0.5分至1分。(4)病人自主權利法第十四條第一項第五款所公告之病名。(5)「全民健康保險居家醫療照護整合計畫」收案對象。(6)「全民健康保險家庭醫師整合性照護計畫」、「全民健康保險地區醫院全人全社區照護計畫」收案之六十五歲以上多重慢性病人。2.相關規範：(1)諮商參與人員：依病人自主權利法之規定辦理。(2)諮商紀錄：應有每次會議完整之諮商溝通內容紀錄，並應將影本併入病人之病歷紀錄留存，紀錄有參與諮商醫療團隊及病人或家屬簽名，並簽署預立醫療決定。(3)申報規定：A.當次就醫前已於全民健康保險憑證註記預立醫療決定者，不得申報本項費用。B.每人終生以申報一次為限。C.應依病人自主權利法，於申報前完成預立醫療決定上傳至中央主管機關之資料庫，未完成者，本項費用不予支付。"
02030K,468,20250501,29101231,,急診觀察床診察費（天）,留置急診觀察床二日以上者，自第二天起始得申報本項。
02031A,442,20250501,29101231,,急診觀察床診察費（天）,留置急診觀察床二日以上者，自第二天起始得申報本項。
02032B,398,20250501,29101231,,急診觀察床診察費（天）,留置急診觀察床二日以上者，自第二天起始得申報本項。
03,100,20220701,29101231,,第三次兒童衛教指導費(可搭配第三次兒童預防保健申報),於四個月至十個月；提供哺餵及營養指導、副食品添加、口腔清潔與乳牙照護、事故傷害預防等衛教指導。
03001K,598,20160401,29101231,,急性一般病床（床/天）–病房費,
03002A,532,20160401,29101231,,急性一般病床（床/天）–病房費,
03003BA,404,20210701,29101231,,慢性呼吸照護病房病床費/天,
03004B,532,20171001,29101231,,急性一般病床（床/天）–病床費,
03005K,336,20220601,29101231,,經濟病床（床/天）-病房費,指每一病室設超過四床之病床。
03006A,302,20220601,29101231,,經濟病床（床/天）–病房費,指每一病室設超過四床之病床。
03008B,302,20220601,29101231,,經濟病床（床/天）–病房費,指每一病室設超過四床之病床。
03009K,1187,20160401,29101231,,嬰兒病床(床/天)--病房費,註：1.指足月出生四個月內或早於35週出生之早產兒出生後矯正年齡五個月內之嬰兒(正常新生兒除外)因疾病而需特別觀察治療者，或因早產需要特別養育者，以入住時之年齡判定。2.限無家屬照顧，二十四小時由醫護人員照顧者.3.本項非兒童加成項目。4. 非註1之嬰兒住院者，以急性一般病床申報費用。
